Portuguese,English,Audio,Tags
um,one (1),[sound:common_phrases/um.mp3],numbers
dois,two (2),[sound:common_phrases/dois.mp3],numbers
três,three (3),[sound:common_phrases/três.mp3],numbers
quatro,four (4),,numbers
cinco,five (5),,numbers
seis,six (6),,numbers
sete,seven (7),,numbers
oito,eight (8),,numbers
nove,nine (9),,numbers
dez,ten (10),,numbers
onze,eleven (11),,numbers
doze,twelve (12),,numbers
treze,thirteen (13),,numbers
quartorze,fourteen (14),,numbers
quinze,fifteen (15),,numbers
dezasseis,sixteen (16),,numbers
dezassete,seventeen (17),,numbers
dezoito,eighteen (18),,numbers
dezenove,nineteen (19),,numbers
vinte,twenty (20),,numbers
número,number,,numbers
Segunda-feira,Monday,,days_of_the_week
Terça-feira,Tuesday,,days_of_the_week
Quarta-feira,Wednesday,,days_of_the_week
Quinta-feira,Thursday,,days_of_the_week
Sexta-feira,Friday,,days_of_the_week
Sábado,Saturday,,days_of_the_week
Domingo,Sunday,,days_of_the_week
agora,now,,time
nunca,never,,time
momento,moment,,time
segundo,second,,time
minuto,minute,,time
hora,hour,,time
dia,day,,time
semana,week,,time
mês,month,,time
ano,year,,time
hoje,today,,time
amanhã,tomorrow,,time
ontem,yesterday,,time
desde,since,,time
até,until,,time
primeira,first,,time
chuva,rain,,nature
sol,sun,,nature
nuvem,cloud,,nature
árvore,tree,,nature
praia,beach,,nature
pedra,rock,,nature
ar,air,,nature
uma piada,a joke,,nature
ruído/barulho,noise,,nature
uma chamada,a call,,nature
dinheiro,money,,nature
França,France,,nature
visto,visa,,nature
ligação,a call,,nature
bacana/legal,cool,,slang
cara,dude,,slang
tipo,like,,slang
maneiro,cool,,slang
caralho,shit/fuck,,expletives
foda,fuck,,expletives
mais,more,,core_conversational_vocab
mas,but,,core_conversational_vocab
ainda,still,,core_conversational_vocab
e,and,,core_conversational_vocab
onde,where,,core_conversational_vocab
quando,when,,core_conversational_vocab
qual,which,,core_conversational_vocab
porque,why,,core_conversational_vocab
mesmo/a,the same,,core_conversational_vocab
pergunta,a question,,core_conversational_vocab
resposta,an answer,,core_conversational_vocab
talvez,maybe,,core_conversational_vocab
possivelmente,possibly,,core_conversational_vocab
quiçá,perhaps,,core_conversational_vocab
há,there is / there are,,core_conversational_vocab
náo há,there is (not) / there are (not),,core_conversational_vocab
desculpe,excuse me,,core_conversational_vocab
perdão,pardon,,core_conversational_vocab
nenhum(a),none,,core_conversational_vocab
assim,like this / so,,core_conversational_vocab
por exemplo,for example,,core_conversational_vocab
contra,against,,core_conversational_vocab
coisa,thing,,core_conversational_vocab
alguma coisa,something,,core_conversational_vocab
tudo,everything,,core_conversational_vocab
direito,right (direction),,core_conversational_vocab
esquerdo,left (direction),,core_conversational_vocab
nada,nothing,,core_conversational_vocab
só,only / alone,,core_conversational_vocab
com,with,,core_conversational_vocab
sem,without,,core_conversational_vocab
já,already,,core_conversational_vocab
cada,each,,core_conversational_vocab
meio que,kind of,,core_conversational_vocab
metade,half,,core_conversational_vocab
nem,not even,,core_conversational_vocab
maneira,way,,core_conversational_vocab
se,if,,core_conversational_vocab
realmente,really,,core_conversational_vocab
oposto,opposite,,core_conversational_vocab
falta,to lack,,core_conversational_vocab
proximo,close,,core_conversational_vocab
atrás,behind/ago,,core_conversational_vocab
poucos/as,few,,core_conversational_vocab
alguns,a few,,core_conversational_vocab
juntos,together,,core_conversational_vocab
possível,possible,,core_conversational_vocab
vez,time,,core_conversational_vocab
idéia,idea,,communicating_ideas
palavra,word,,communicating_ideas
frase,sentence,,communicating_ideas
alias,however,,communicating_ideas
uma mistura,a mix,,communicating_ideas
têm razão,you're right,,communicating_ideas
está errado,you're wrong,,communicating_ideas
erro,mistake,,communicating_ideas
contanto que,as long as,,communicating_ideas
nem,not even,,communicating_ideas
também,also,,communicating_ideas
a coisa é,the thing is,,communicating_ideas
bom dia,hello / good morning,,basic_interactions
boa tarde,hello / good afternoon,,basic_interactions
boa noite,good evening / good night,,basic_interactions
tchau,bye,,basic_interactions
até logo,see you soon,,basic_interactions
meu Deus,oh my God,,basic_interactions
Sim,yes,,basic_interactions
Não,no,,basic_interactions
obrigado/a,thank you,,basic_interactions
de nada,you're welcome,,basic_interactions
eu sou da,I'm from,,basic_interactions
como você está,how are you?,,basic_interactions
e aí,hey there!,,basic_interactions
concordo,I agree,,basic_interactions
tudo bem?,how are you?,,basic_interactions
fácil,easy,,top_adjectives
difícil,difficult,,top_adjectives
diversão,fun,,top_adjectives
"semelhante, parecido",similar,,top_adjectives
sério/a,serious,,top_adjectives
estúpido,dumb,,top_adjectives
inteligente,smart,,top_adjectives
luoco,crazy,,top_adjectives
"esquisito, estranho",weird,,top_adjectives
engraçado/a,funny,,top_adjectives
surpreendente,amazing,,top_adjectives
último,last,,top_adjectives
bom,good,,top_adjectives
mau,bad,,top_adjectives
correcto / justo,right,,top_adjectives
errado/a,wrong,,top_adjectives
importante,important,,top_adjectives
aberto/a,open,,top_adjectives
fechado/a,closed,,top_adjectives
nervoso,nervous,,top_adjectives
feio,ugly,,top_adjectives
bonito/bonita,pretty,,top_adjectives
lindo,beautiful,,top_adjectives
grande,big,,top_adjectives
pequeno,small,,top_adjectives
rápido,fast,,top_adjectives
ser,to be,,top_verbs
estar,to be,,top_verbs
poder,to be able to,,top_verbs
parecer,to seem/appear,,top_verbs
querer,to want,,top_verbs
gostar,to like,,top_verbs
esperar,"to wait, expect, hope",,top_verbs
amar,to love,,top_verbs
sentir,to feel,,top_verbs
saber,to know,,top_verbs
conhecer,to know,,top_verbs
pensar,to think,,top_verbs
achar,to think/find,,top_verbs
conseguir,to get,,top_verbs
aprender,to learn,,top_verbs
entender,to understand,,top_verbs
decidir,to decide,,top_verbs
ver,to see/watch,,top_verbs
olhar,to look,,top_verbs
ouvir,to hear,,top_verbs
escutar,to listen,,top_verbs
ir,to go,,top_verbs
vir,to come,,top_verbs
sair,to go out,,top_verbs
caminhar,to walk,,top_verbs
voltar,to return,,top_verbs
deixar,to leave/quit,,top_verbs
chegar,to arrive,,top_verbs
ter,to have,,top_verbs
fazer,to do/to make,,top_verbs
comer,to eat,,top_verbs
beber,to drink,,top_verbs
dormir,to sleep,,top_verbs
descansar,to rest,,top_verbs
comprar,to buy,,top_verbs
estudar,to study,,top_verbs
trabalhar,to work,,top_verbs
ajudar,to help,,top_verbs
viajar,to travel,,top_verbs
usar,to use,,top_verbs
escrever,to write,,top_verbs
ler,to read,,top_verbs
dar,to give,,top_verbs
comprar,to buy,,top_verbs
jogar,to play,,top_verbs
passar,to pass,,top_verbs
precisar,to need,,top_verbs
falar,to speak/talk,,top_verbs
chamar,to call,,top_verbs
perguntar,to ask,,top_verbs
acreditar,to believe,,top_verbs
ficar,to stay,,top_verbs
ficar,to stay/date,,top_verbs
eu,I,,pronouns
mim,me,,pronouns
meu,mine,,pronouns
você,you,,pronouns
seu(s) / sua(s),yours,,pronouns
ele,he,,pronouns
dele / ele,him,,pronouns
ela,she,,pronouns
ela/dela,her(s),,pronouns
nós,we,,pronouns
nós,us,,pronouns
nosso(s) / -a(s),our (s),,pronouns
eles / elas,they,,pronouns
eles / elas,them,,pronouns
deles / delas,theirs,,pronouns
eu acho,in my opinion,,more_conversation
tão,so (multiplier),,more_conversation
boa sorte,good luck,,more_conversation
ou seja,like,,more_conversation
fisicamente,physically,,more_conversation
então,so (connector),,more_conversation
depois,after,,more_conversation
antes,before,,more_conversation
aprendizagem,lesson,,more_conversation
início,beginning,,more_conversation
estou com fome,I'm hungry,,more_conversation
estou com sede,I'm thirsty,,more_conversation
de modo,so,,more_conversation
perfeitamente,perfectly,,more_conversation
realisticamente,realistically,,more_conversation
praticamente,practically,,more_conversation
quase,almost,,more_conversation
ninguém,nobody,,more_conversation
pronto,ready,,more_conversation
galera,guys,,more_conversation
cedo,early,,more_conversation
nossa,wow,,more_conversation
infelizmente,unfortunately,,more_conversation
uma viagem,a trip,,more_conversation
diferença,difference,,more_conversation
maioria,most,,more_conversation
axé,life force,,more_conversation
dúvida,doubt,,more_conversation
por sinal,by the way,,more_conversation
poxa que pena,What a shame!,,more_conversation
na sua opinião,in your opinion,,more_conversation
eu me disse,I said to myself,,more_conversation
na medida do possível,as far as possible,,more_conversation
na verdade,in fact,,more_conversation
socorro,help,,more_conversation
no chão,on the floor,,more_conversation
de qualquer forma,anyway,,more_conversation
time,team,,more_conversation
respeito,respect,,more_conversation
como se diz,how do you say....,,more_conversation
impacto,impact,,more_conversation
demais,too much,,more_conversation
prazer,pleasure,,more_conversation
mudança,a change,,more_conversation
política,politics,,more_conversation
não importa,it doesn't matter,,more_conversation
fazer parte,to be a part of,,more_conversation
Fazer sentido,to make sense,,more_conversation
visão,vision,,more_conversation
de vez em quando,once in a while,,more_conversation
começar,to begin,,more_verbs
adivinhar,to guess,,more_verbs
iniciar,to begin,,more_verbs
aceitar,to accept,,more_verbs
refletir,to reflect,,more_verbs
parar,to stop,,more_verbs
escolher,to pick,,more_verbs
lembrar,to remember,,more_verbs
esquecer,to forget,,more_verbs
estressar,to stress,,more_verbs
encontrar,to find,,more_verbs
tornar-se,to become,,more_verbs
tentar,to try,,more_verbs
mudar,to change,,more_verbs
praticar,to practice,,more_verbs
compartilhar,to share,,more_verbs
melhor,better,,top_adjectives
pior,worse,,top_adjectives
feliz,happy,,top_adjectives
triste,sad,,top_adjectives
contente,happy,,top_adjectives
esperto,smart/clever,,top_adjectives
focado/a,focused,,top_adjectives
limpo/a,clean,,top_adjectives
sujo/a,dirty,,top_adjectives
chateado/a,upset,,top_adjectives
jovem,young,,top_adjectives
velho,old,,top_adjectives
estrangeiro/a,foreign,,top_adjectives
doido/a,crazy,,top_adjectives
doente,sick,,top_adjectives
lento/a,slow,,top_adjectives
complexo/a,complex,,top_adjectives
simples,simple,,top_adjectives
cor,color,,colors
vermelho,red,,colors
laranja,orange,,colors
amarelo,yellow,,colors
verde,green,,colors
azul,blue,,colors
lilás,purple,,colors
rosa,pink,,colors
marrom,brown,,colors
preto,black,,colors
branco,white,,colors
claro,light,,colors
escuro,dark,,colors
de fato,in fact,,more_conversation
a propósito,by the way,,more_conversation
quer dizer,it means,,more_conversation
em outras palavras,in other words,,more_conversation
ou melhor,better put,,more_conversation
um idioma,a language,,more_conversation
agora mesmo,right now,,more_conversation
o que...?,what...?,,more_conversation
nesse momento,now/at this time,,more_conversation
um par de,a pair of,,more_conversation
"então, tá",alright then,,more_conversation
fim,end,,more_conversation
som,sound,,more_conversation
comum,common,,more_conversation
alguém,someone,,more_conversation
começo,the beginning,,more_conversation
as vezes,sometimes,,more_conversation
pedaço,piece,,more_conversation
medo,fear,,more_conversation
estou com medo,I'm afraid,,more_conversation
afortunadamente,luckily,,more_conversation
foi mal,my bad,,more_conversation
olha só,look here,,more_conversation
água,water,,food_and_drink
café,coffee,,food_and_drink
cerveja,beer,,food_and_drink
pão,bread,,food_and_drink
peixe,fish,,food_and_drink
maçâ,apple,,food_and_drink
comida,food,,food_and_drink
mãe,mother,,relationships
pai,father,,relationships
filho/a,son/daughter,,relationships
esposo/a,husband/wife,,relationships
criança,child,,relationships
mulher,woman,,relationships
homem,man,,relationships
namorado/a,boy/girlfriend,,relationships
amigo,friend,,relationships
menino/a,boy/girl,,relationships
uma pessoa,a person,,relationships
todo mundo,everybody,,relationships
aqui,here,,places
là,there,,places
aí,there (location of listener),,places
lugar,place,,places
espaço,space,,places
banheiro,bathroom,,places
quarto / sala,room,,places
casa,house,,places
dentro,inside,,places
fora,outside,,places
computador,computer,,things
cama,bed,,things
porta,door,,things
cadeira,chair,,things
bola (f),ball,,things
chave,key,,things
carro,car,,things
livro,book,,things
cabeça,head,,body
perna,leg,,body
pé,foot,,body
coração,heart,,body
mente,mind,,body
mão (f),hand,,body
sapato,shoe,,clothes
calça,pants,,clothes
camisa,shirt,,clothes
sotaque,accent,,random
Inglês,English,,random
uma piada,a joke,,random
ruído/barulho,noise,,random
uma chamada,a call,,random
dinheiro,money,,random
França,France,,random
visto,visa,,random
ligação,a call,,random
bacana/legal,cool,,slang
cara,dude,,slang
tipo,like,,slang
maneiro,cool,,slang
caralho,shit/fuck,,expletives
foda,fuck,,
